0,81,162
58339,58341,3
58341,58342,3
74723,123068,3
123068,74727,3
74723,74725,4
74725,74727,4
83293,121025,1
83293,119108,1
83293,83296,6
83296,83299,6
87200,87221,41
87221,87241,41
42711,118092,3
118092,118093,3
42711,42712,2
42712,42713,2
91863,91874,1
91863,91866,5
91866,91868,5
108247,108252,9
108252,108256,9
10699,123701,3
123701,10702,3
10699,10701,3
10701,10702,3
27083,125136,4
125136,27087,4
27083,27085,4
27085,27087,4
76235,76238,6
76238,76241,6
122236,7256,1
94131,123414,3
123414,94135,3
94131,121240,3
121240,94135,3
94131,94133,4
94133,94135,4
34770,34797,54
34797,34824,54
108876,108883,14
108883,108890,14
109632,124749,5
124749,109635,5
109632,109634,3
109634,109635,3
23805,23809,1
23805,23806,2
23806,23807,2
36282,36288,12
36288,36294,12
90097,90103,11
90103,90108,11
102574,121378,3
121378,102578,3
102574,102576,4
102576,102578,4
106481,106515,67
106515,106548,67
21410,120309,3
120309,21413,3
21410,21412,3
21412,21413,3
83039,83047,15
83047,83054,15
5782,5783,1
96272,121288,2
121288,96276,2
96272,96274,4
96274,96276,4
113412,113435,46
113435,113458,46
89214,89216,4
89216,89218,4
4143,4154,22
4154,4165,22
111017,123624,2
123624,111020,2
111017,111019,3
111019,111020,3
45481,45490,17
45490,45498,17
119587,119594,1
119587,119590,5
119590,98271,5
41574,41619,90
41619,41664,90
103959,119928,1
103959,103960,1
108622,108625,5
108625,108627,5
6411,6416,10
6416,6421,10
80517,124293,3
124293,80521,3
80517,80519,4
80519,80521,4
77366,125827,2
125827,77370,2
77366,124252,3
124252,77369,3
77366,77368,3
77368,77369,3
20400,120266,2
120266,20407,2
20400,20404,7
20404,20407,7
4016,4018,4
4018,4020,4
70308,124160,3
124160,70310,3
70308,70309,2
70309,70310,2
115553,115554,1
5528,121744,2
121744,5530,2
5528,5529,2
5529,5530,2
99925,99927,1
99925,121367,3
121367,99927,3
99925,99926,2
99926,99927,2
46866,46867,2
46867,46868,2
92111,121176,2
121176,92114,2
92111,92112,1
79634,79639,10
79639,79644,10
100681,100683,1
100681,100682,2
100682,100683,2
68669,68721,104
68721,68773,104
64762,124105,3
124105,64765,3
64762,64764,3
64764,64765,3
48378,48381,6
48381,48384,6
74088,74104,32
74104,74120,32
29599,29609,19
29609,29618,19
6157,6162,9
6162,6166,9
100554,119818,2
119818,100556,2
100554,100555,2
100555,100556,2
18634,18637,6
18637,18640,6
27204,120463,3
120463,27208,3
27204,27206,4
27206,27208,4
7669,7678,17
7678,7686,17
32623,32625,4
32625,32627,4
90345,126031,3
126031,90349,3
90345,123333,3
123333,90350,3
90345,90347,4
90347,90349,4
70810,70811,1
51275,125647,2
125647,51279,2
51275,51277,4
51277,51279,4
14600,14656,111
14656,14711,111
6786,122096,20
122096,6812,20
6786,6798,23
6798,6809,23
101939,101953,28
101953,101967,28
49636,120808,2
120808,49638,2
49636,49637,2
49637,49638,2
111265,120080,3
120080,111268,3
111265,111267,3
111267,111268,3
21531,21541,20
21541,21551,20
46485,46488,5
46488,46490,5
30857,120553,3
120553,30859,3
30857,30858,2
30858,30859,2
105719,119964,4
119964,105722,4
105719,105721,3
105721,105722,3
85428,85429,1
5776,5777,2
5777,5778,2
83789,124307,2
124307,83792,2
83789,83791,3
83791,83792,3
39300,122721,3
122721,39302,3
39300,39301,2
39301,39302,2
19009,125040,2
125040,19013,2
19009,19011,4
19011,19013,4
31486,123799,2
123799,122560,2
31486,122560,1
31486,31487,1
77487,125874,6
125874,123151,6
77487,123151,1
77487,77488,1
89964,119302,2
119302,89968,2
89964,89966,4
89966,89968,4
36905,125451,3
125451,36907,3
36905,36906,2
36906,36907,2
86057,126003,2
126003,86060,2
86057,86059,3
86059,86060,3
61859,61972,225
61972,62084,225
123488,124509,2
124509,119707,2
123488,123489,2
123489,123490,2
119581,119582,2
119582,119583,2
86813,86848,69
86848,86882,69
113279,120144,3
120144,113281,3
113279,113280,2
113280,113281,2
82023,119077,2
119077,82026,2
82023,82025,3
82025,82026,3
115547,115553,1
115547,115550,5
115550,115552,5
92105,92106,1
31232,31234,1
31232,31233,1
93617,93665,95
93665,93712,95
73326,118760,4
118760,73330,4
73326,73328,4
73328,73330,4
98280,98282,3
98282,98283,3
37407,118009,2
118009,37410,2
37407,37409,3
37409,37410,3
49884,49913,58
49913,49942,58
45977,122861,4
122861,45981,4
45977,118164,4
118164,45981,4
45977,45979,4
45979,45981,4
95129,119443,3
119443,95132,3
95129,95131,3
95131,95132,3
123990,51632,1
123990,123993,5
123993,51628,5
30349,125248,4
125248,30352,4
30349,30351,3
30351,30352,3
18628,125029,3
125029,18630,3
18628,18629,2
18629,18630,2
6907,122151,4
122151,6911,4
6907,6908,2
6908,6909,2
113781,120175,3
120175,113782,3
113781,113782,1
81769,81778,18
81778,81787,18
94246,94247,1
73955,73966,21
73966,73976,21
49757,125633,3
125633,49760,3
49757,49759,3
49759,49760,3
111386,111395,17
111395,111403,17
107479,126337,4
126337,107483,4
107479,107481,4
107481,107483,4
78618,78642,47
78642,78665,47
74711,74717,12
74717,74723,12
46606,120751,2
120751,46608,2
46606,46607,2
46607,46608,2
80130,124287,3
124287,80132,3
80130,80131,2
80131,80132,2
23164,117672,3
117672,23168,3
23164,23166,4
23166,23168,4
97270,121315,4
121315,97275,4
97270,97273,5
97273,97275,5
31734,31744,20
31744,31754,20
89456,121123,3
121123,89458,3
89456,89457,2
89457,89458,2
101933,119875,4
119875,101936,4
101933,101935,3
101935,101936,3
65258,120863,3
120863,65261,3
65258,65260,3
65260,65261,3
44967,45013,91
45013,45058,91
114410,114429,38
114429,114448,38
32490,32492,3
32492,32493,3
82398,82412,27
82412,82425,27
45723,45731,16
45731,45739,16
78491,78492,1
103445,103447,3
103447,103448,3
70677,70686,17
70686,70694,17
42572,123900,2
123900,118085,2
42572,118085,1
42572,42573,1
5897,121870,2
121870,5899,2
5897,5898,2
5898,5899,2
91724,126034,4
126034,119373,4
91724,91725,2
91725,91726,2
112771,121475,4
121475,112774,4
112771,112773,3
112773,112774,3
101050,101065,30
101065,101080,30
15223,15235,23
15235,15246,23
110376,110380,8
110380,110384,8
102562,126248,5
126248,102566,5
102562,102564,4
102564,102566,4
111132,126444,5
126444,111136,5
111132,111134,4
111134,111136,4
54922,118408,3
118408,54926,3
54922,54924,4
54924,54926,4
5770,5772,4
5772,5774,4
108737,123595,2
123595,108739,2
108737,108738,2
108738,108739,2
55678,55695,34
55695,55712,34
51771,124001,5
124001,51775,5
51771,51773,4
51773,51775,4
75969,75978,18
75978,75987,18
24422,24485,125
24485,24547,125
49376,120795,2
120795,49377,2
49376,49377,1
98528,98568,79
98568,98607,79
119575,98263,1
95377,95380,5
95380,95382,5
116424,116447,46
116447,116470,46
26690,125127,2
125127,26694,2
26690,26691,2
26691,26692,2
6399,121991,4
121991,6404,4
6399,6402,5
6402,6404,5
47737,122894,2
122894,47740,2
47737,47739,3
47739,47740,3
113273,113276,6
113276,113279,6
36016,117992,1
36016,36018,3
36018,36019,3
48493,118289,3
118289,48497,3
48493,48495,4
48495,48497,4
110122,110124,4
110124,110126,4
44586,44587,2
44587,44588,2
4004,121567,4
121567,117329,4
4004,4006,3
4006,4007,3
57819,57838,38
57838,57857,38
21900,21905,9
21905,21909,9
31226,125268,3
125268,123794,3
31226,31228,3
31228,31229,3
48366,125618,3
125618,48370,3
48366,48368,4
48368,48370,4
97518,126096,5
126096,97523,5
97518,97521,5
97521,97523,5
73320,73323,6
73323,73326,6
61599,118520,4
118520,61602,4
61599,61601,3
61601,61602,3
110751,110756,10
110756,110761,10
115414,126528,3
126528,115419,3
115414,115417,5
115417,115419,5
78739,118975,3
118975,78741,3
78739,78740,2
78740,78741,2
95123,95126,6
95126,95129,6
10808,11012,407
11012,11215,407
68530,123008,2
123008,68531,2
68530,68531,1
89577,89607,60
89607,89637,60
73193,73217,48
73217,73241,48
81763,119048,4
119048,81769,4
81763,81766,6
81766,81769,6
33367,33376,18
33376,33385,18
79368,79436,135
79436,79503,135
75461,75492,61
75492,75522,61
34879,117880,4
117880,34882,4
34879,34881,3
34881,34882,3
108985,109088,205
109088,109190,205
6774,124847,4
124847,6776,4
6774,6775,2
6775,6776,2
44205,125534,4
125534,44208,4
44205,123905,4
123905,44208,4
44205,44207,3
44207,44208,3
89450,89453,6
89453,89456,6
48868,48926,115
48926,48983,115
61345,61368,46
61368,61391,46
57438,118465,3
118465,57440,3
57438,57439,2
57439,57440,2
16856,124962,3
124962,16860,3
16856,16857,2
16857,16858,2
78485,78487,4
78487,78489,4
49624,49630,12
49630,49636,12
5135,5173,75
5173,5210,75
83148,121018,5
121018,83151,5
83148,83150,3
83150,83151,3
112009,124781,2
124781,112012,2
112009,112011,3
112011,112012,3
120579,123788,4
123788,31151,4
120579,120581,3
120581,31151,3
67520,123001,2
123001,67522,2
67520,118629,3
118629,67523,3
67520,67521,2
67521,67522,2
23031,23062,62
23062,23093,62
89323,123315,3
123315,89326,3
89323,89325,3
89325,89326,3
118184,122883,4
122883,46282,4
118184,46279,1
40927,40928,2
40928,40929,2
4252,4290,75
4290,4327,75
45590,45592,3
45592,45593,3
119696,124500,14
124500,119697,14
119696,119697,1
103312,103322,20
103322,103332,20
111882,123637,2
123637,111884,2
111882,111883,2
111883,111884,2
46346,46353,14
46353,46360,14
72056,72058,1
72056,72057,2
72057,72058,2
109487,109488,2
109488,109489,2
77475,118898,1
77475,77476,1
36893,122692,3
122692,36895,3
36893,36894,2
36894,36895,2
86045,125999,4
125999,86049,4
86045,86047,4
86047,86049,4
119569,119570,1
29835,120501,4
120501,29839,4
29835,29837,4
29837,29839,4
46219,122880,5
122880,46224,5
46219,46222,5
46222,46224,5
87557,119217,3
119217,87559,3
87557,87558,2
87558,87559,2
96127,121286,3
121286,96131,3
96127,96129,4
96129,96131,4
92220,92246,52
92246,92272,52
23533,120392,4
120392,23536,4
23533,23535,3
23535,23536,3
117930,35189,1
57057,57085,56
57085,57113,56
20382,20391,18
20391,20400,18
82011,123182,3
123182,82014,3
82011,82012,1
98395,98396,1
89825,89839,28
89839,89853,28
17231,17235,8
17235,17239,8
42185,42186,2
42186,42187,2
83523,123195,2
123195,83525,2
83523,83524,2
83524,83525,2
44453,44485,63
44485,44516,63
106082,119998,4
119998,120000,4
106082,106084,4
106084,106086,4
77977,77981,8
77981,77985,8
106838,126332,2
126332,106842,2
106838,106840,4
106840,106842,4
115408,126526,2
126526,115411,2
115408,115410,3
115410,115411,3
91210,91234,47
91234,91257,47
19372,120236,3
120236,19374,3
19372,19373,2
19373,19374,2
15465,117476,2
117476,15468,2
15465,15467,3
15467,15468,3
84908,84920,23
84920,84931,23
20128,117640,4
117640,20131,4
20128,20130,3
20130,20131,3
85664,85674,20
85674,85684,20
79362,124285,3
124285,79368,3
79362,79365,6
79365,79368,6
112130,120109,1
112130,112133,5
112133,112135,5
6012,6028,32
6028,6044,32
6768,6771,6
6771,6774,6
35629,122635,5
122635,35631,5
35629,35630,2
35630,35631,2
31722,125272,2
125272,31724,2
31722,31723,2
31723,31724,2
7524,122300,4
122300,7526,4
7524,7525,2
7525,7526,2
85537,123218,3
123218,85540,3
85537,85539,3
85539,85540,3
20757,20762,9
20762,20766,9
124480,124481,1
104189,104208,38
104208,104227,38
27688,125158,3
125158,27690,3
27688,27689,2
27689,27690,2
72933,124195,4
124195,72936,4
72933,72935,3
72935,72936,3
36258,122675,1
36258,36259,1
105701,119962,3
119962,105705,3
105701,105703,4
105703,105705,4
106457,123578,3
123578,106460,3
106457,120004,4
120004,106460,4
106457,106459,3
106459,106460,3
5002,121663,3
121663,5005,3
5002,5004,3
5004,5005,3
34619,122603,3
122603,34622,3
34619,34621,3
34621,34622,3
30712,125259,3
125259,30715,3
30712,30713,1
6514,6517,5
6517,6519,5
72050,72052,4
72052,72054,4
97004,119495,4
119495,97009,4
97004,97007,5
97007,97009,5
121958,121960,3
121960,6253,3
77469,124266,2
124266,118892,2
77469,123136,1
77469,118890,1
77469,77471,3
77471,77472,3
4119,4130,22
4130,4141,22
21259,120301,3
120301,21262,3
21259,21261,3
21261,21262,3
55539,55607,136
55607,55675,136
51632,125664,9
125664,51633,9
51632,51633,1
97633,119523,4
119523,97636,4
97633,97634,1
32097,32102,10
32102,32107,10
82005,119074,7
119074,82012,7
82005,82008,6
82008,82011,6
25039,125111,3
125111,25041,3
25039,25040,2
25040,25041,2
8655,8779,247
8779,8902,247
124099,125781,2
125781,63930,2
124099,124101,4
124101,63930,4
46842,46846,7
46846,46849,7
43691,125520,2
125520,43694,2
43691,43693,3
43693,43694,3
7016,122173,4
122173,7021,4
7016,7018,3
7018,7019,3
52261,52264,5
52264,52266,5
15586,124930,5
124930,15589,5
15586,15588,3
15588,15589,3
92843,92845,4
92845,92847,4
113890,113894,7
113894,113897,7
98262,124472,3
124472,119575,3
98262,119575,1
98262,98263,1
106832,106835,6
106835,106838,6
35750,122640,4
122640,35753,4
35750,35752,3
35752,35753,3
31843,122588,5
122588,31846,5
31843,31845,3
31845,31846,3
97379,97408,58
97408,97437,58
48983,122930,3
122930,122931,3
48983,48984,1
65367,65502,269
65502,65636,269
37262,123893,3
123893,37265,3
37262,37264,3
37264,37265,3
38018,122697,4
122697,120606,4
38018,120604,4
120604,120606,4
38018,38019,2
38019,38020,2
79356,124283,3
124283,79360,3
79356,79358,4
79358,79360,4
117543,117545,4
117545,17902,4
109729,109756,53
109756,109782,53
7518,122297,5
122297,7524,5
7518,7521,6
7521,7524,6
19995,20003,15
20003,20010,15
76961,76986,50
76986,77011,50
77717,124271,2
124271,77720,2
77717,77719,3
77719,77720,3
24658,120426,5
120426,24661,5
24658,24660,3
24660,24661,3
53519,118372,3
118372,53521,3
53519,53520,2
53520,53521,2
57426,57432,12
57432,57438,12
97125,97136,22
97136,97147,22
7391,7393,3
7393,7394,3
90067,90081,28
90081,90095,28
8147,8149,4
8149,8151,4
82253,119088,3
119088,82256,3
82253,82255,3
82255,82256,3
111114,111123,18
111123,111132,18
119684,119685,2
119685,119686,2
46334,122890,2
122890,46338,2
46334,46336,4
46336,46338,4
91579,91585,11
91585,91590,11
87672,87673,1
96242,121287,1
96242,96243,1
121196,121197,2
121197,92971,2
7264,122240,3
122240,7267,3
7264,7266,3
7266,7267,3
105568,126301,4
126301,105570,4
105568,105569,2
105569,105570,2
4113,121608,2
121608,4116,2
4113,4115,3
4115,4116,3
86033,125997,3
125997,86036,3
86033,86035,3
86035,86036,3
94603,123427,3
123427,94608,3
94603,94606,5
94606,94608,5
98510,119768,1
98510,98511,2
98511,98512,2
4869,117350,2
117350,4874,2
4869,4872,5
4872,4874,5
82882,123188,4
123188,82885,4
82882,82884,3
82884,82885,3
90696,90730,67
90730,90763,67
112499,124783,4
124783,112503,4
112499,112501,4
112501,112503,4
75824,75835,22
75835,75846,22
88301,88305,8
88305,88309,8
96871,124444,3
124444,96874,3
96871,96873,3
96873,96874,3
7137,124888,5
124888,7141,5
7137,7139,4
7139,7141,4
35998,125415,2
125415,36000,2
35998,35999,2
35999,36000,2
15707,117483,2
117483,15709,2
15707,15708,2
15708,15709,2
105441,105467,52
105467,105493,52
49987,125637,4
125637,49989,4
49987,122960,4
122960,49989,4
49987,49988,2
49988,49989,2
78848,123159,3
123159,78851,3
78848,118983,5
118983,78851,5
78848,78850,3
78850,78851,3
92081,92084,5
92084,92086,5
6254,121963,5
121963,6257,5
6254,6256,3
6256,6257,3
51499,51502,1
51499,51501,3
51501,51502,3
113128,120135,3
120135,113132,3
113128,113130,4
113130,113132,4
7010,7011,1
35871,35895,47
35895,35918,47
113884,120183,5
120183,113889,5
113884,113885,1
32720,117826,3
117826,32724,3
32720,32722,4
32722,32724,4
45197,120683,3
120683,45200,3
45197,45199,3
45199,45200,3
115396,126524,3
126524,115398,3
115396,115397,2
115397,115398,2
111489,111509,39
111509,111528,39
87291,123252,2
123252,87295,2
87291,87293,4
87293,87295,4
6127,121923,3
121923,6132,3
6127,6130,5
6130,6132,5
92710,92723,26
92723,92736,26
31837,31840,6
31840,31843,6
69268,69288,40
69288,69308,40
24779,24787,16
24787,24795,16
102792,121391,5
121391,102797,5
102792,102795,5
102795,102797,5
21628,120328,3
120328,21631,3
21628,21630,3
21630,21631,3
103548,103549,1
26291,26295,7
26295,26298,7
67629,118639,2
118639,67632,2
67629,67631,3
67631,67632,3
96490,124426,4
124426,96495,4
96490,96493,5
96493,96495,5
30954,30961,13
30961,30967,13
23140,120376,5
120376,23143,5
23140,23142,3
23142,23143,3
36373,125431,4
125431,36375,4
36373,122682,2
122682,36374,2
36373,36374,1
12175,12201,51
12201,12226,51
24652,120423,3
120423,24657,3
24652,24655,5
24655,24657,5
454,117276,4
117276,457,4
454,456,3
456,457,3
12931,120201,3
120201,12934,3
12931,12933,3
12933,12934,3
107328,107356,56
107356,107384,56
49606,49613,13
49613,49619,13
45699,45707,15
45707,45714,15
91700,91712,24
91712,91724,24
30827,30833,11
30833,30838,11
6629,122035,13
122035,6638,13
6629,6631,4
6631,6633,4
68258,68286,55
68286,68313,55
109596,124744,4
124744,109598,4
109596,109597,2
109597,109598,2
7385,7387,3
7387,7388,3
33095,123828,1
33095,33096,1
119678,119679,1
38514,120634,3
120634,38517,3
38514,38516,3
38516,38517,3
67375,67378,5
67378,67380,5
31456,122558,4
122558,31459,4
31456,31458,3
31458,31459,3
23642,125082,4
125082,23646,4
23642,23644,4
23644,23646,4
77457,77478,1
77457,77458,1
70399,123024,4
123024,70402,4
70399,70401,3
70401,70402,3
17340,17350,19
17350,17359,19
46201,122877,2
122877,46203,2
46201,46202,2
46202,46203,2
43050,43097,94
43097,43144,94
89807,119289,4
119289,89812,4
89807,89810,5
89810,89812,5
122575,31702,1
122575,122576,2
122576,31702,2
24271,24279,15
24279,24286,15
45318,125553,3
125553,45321,3
45318,45320,3
45320,45321,3
115517,115532,29
115532,115546,29
111610,120094,4
120094,111614,4
111610,111612,4
111612,111614,4
107703,124683,2
124683,107705,2
107703,107704,2
107704,107705,2
46830,118218,4
118218,46832,4
46830,46831,2
46831,46832,2
6248,121956,4
121956,121958,4
6248,117389,4
117389,6251,4
6248,6249,2
6249,6250,2
39016,39050,68
39050,39084,68
72540,118751,3
118751,72544,3
72540,72542,4
72542,72544,4
88924,121118,4
121118,88927,4
88924,88926,3
88926,88927,3
48342,125615,5
125615,48344,5
48342,48343,2
48343,48344,2
109971,120065,3
120065,109974,3
109971,109973,3
109973,109974,3
7760,7783,46
7783,7806,46
102157,102162,10
102162,102167,10
98250,98364,1
98250,98251,2
98251,98252,2
94343,121263,5
121263,94348,5
94343,94346,5
94346,94348,5
70145,70178,65
70178,70210,65
82622,82655,66
82655,82688,66
116902,116932,59
116932,116961,59
6877,117408,3
117408,6880,3
6877,6878,2
6878,6879,2
19354,125042,3
125042,19359,3
19354,117603,3
117603,19359,3
19354,19357,5
19357,19359,5
80983,123169,3
123169,80986,3
80983,119028,3
119028,80986,3
80983,80985,3
80985,80986,3
109844,126394,2
126394,120061,2
109844,124754,2
124754,120061,2
109844,109845,1
113751,113757,11
113757,113762,11
35738,35744,12
35744,35750,12
77832,77836,7
77836,77839,7
86402,86406,8
86406,86410,8
87158,124340,4
124340,87162,4
87158,87160,4
87160,87162,4
99635,119796,2
119796,99637,2
99635,99636,2
99636,99637,2
46576,46585,17
46585,46593,17
96484,119486,4
119486,96486,4
96484,96485,2
96485,96486,2
112868,124790,3
124790,112872,3
112868,112870,4
112870,112872,4
6750,124844,3
124844,6753,3
6750,6752,3
6752,6753,3
35611,117980,4
117980,35613,4
35611,35612,2
35612,35613,2
27797,125163,3
125163,27800,3
27797,27799,3
27799,27800,3
114380,114390,19
114390,114399,19
73798,120963,3
120963,73800,3
73798,73799,2
73799,73800,2
102659,121382,3
121382,102664,3
102659,102662,5
102662,102664,5
82368,82381,26
82381,82394,26
74554,74558,8
74558,74562,8
26158,125118,5
125118,26162,5
26158,26159,1
108078,108112,68
108112,108146,68
83880,123200,3
123200,83883,3
83880,83882,3
83882,83883,3
108834,108854,39
108854,108873,39
6623,122023,2
122023,6625,2
6623,6624,2
6624,6625,2
104927,126296,3
126296,104931,3
104927,104929,4
104929,104931,4
97113,119504,2
119504,97115,2
97113,97114,2
97114,97115,2
27670,125155,4
125155,27675,4
27670,27673,5
27673,27675,5
73671,73722,102
73722,73773,102
45566,118147,3
118147,45569,3
45566,45568,3
45568,45569,3
107195,124682,3
124682,107198,3
107195,107197,3
107197,107198,3
111102,123626,3
123626,111104,3
111102,111103,2
111103,111104,2
17461,17495,67
17495,17528,67
22880,125061,4
125061,22882,4
22880,22881,2
22881,22882,2
56404,56410,11
56410,56415,11
64974,65063,177
65063,65151,177
82114,82173,118
82173,82232,118
119545,98254,1
119545,119556,21
119556,119566,21
33718,33749,62
33749,33780,62
99254,99295,81
99295,99335,81
9520,9524,8
9524,9528,8
87533,123264,2
123264,123265,2
87533,87535,3
87535,87536,3
100010,100011,1
1706,1758,104
1758,1810,104
50102,50103,2
50103,50104,2
3218,3261,86
3261,3304,86
81231,121005,4
121005,81235,4
81231,81232,2
81232,81233,2
60940,60959,37
60959,60977,37
98371,98372,1
114755,114779,48
114779,114803,48
21114,122439,3
122439,21118,3
21114,21116,4
21116,21118,4
33591,125377,3
125377,33593,3
33591,33592,2
33592,33593,2
49975,118295,2
118295,49979,2
49975,49977,4
49977,49979,4
5486,124828,2
124828,5487,2
5486,5487,1
30440,125254,4
125254,30443,4
30440,30442,3
30442,30443,3
42917,42925,16
42925,42933,16
22626,117664,3
117664,22628,3
22626,22627,2
22627,22628,2
10149,10394,490
10394,10639,490
118535,62492,1
118535,62491,1
16324,124949,2
124949,16327,2
16324,16326,3
16326,16327,3
90430,123344,4
123344,90435,4
90430,90433,5
90433,90435,5
95093,95094,1
87279,123248,3
123248,87281,3
87279,87280,2
87280,87281,2
31825,122585,2
122585,117753,2
31825,31826,2
